Age,Education Level,Read Books,Build Reading Habit,Books per Month,Prefer Summaries,Summary Preference,Ideal Summary Length,Different Author Preference,Current Apps,Like Rewards,Preferred Rewards,Virtual Character Motivation,Share Progress
18-24 years old,College,Sometimes,Yes,1-3 books,Yes,Written summaries,50 pages,Maybe,No,Yes,Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,High School,Yes,Yes,3-5 books,Yes,Written summaries,50 pages,Yes,Yes (please specify the apps),Yes,Sharing reading progress with friends,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,No,Yes,Less than one book,Yes,Audio summaries,50 pages,Maybe,No,Maybe,Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Yes,Yes,1-3 books,Yes,Written summaries,90 pages,Yes,Yes (please specify the apps),No,Earning badges and digital awards,Not sure,"Yes, I like to share my reading progress and points"
18-24 years old,College,Yes,Yes,1-3 books,Yes,Written summaries,50 pages,Yes,No,Yes,Customizing my virtual character;Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Yes,Yes,Less than one book,Yes,Both,50 pages,No,No,Yes,Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Yes,Yes,1-3 books,Yes,Both,50 pages,Maybe,Yes (please specify the apps),Yes,Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Yes,Yes,3-5 books,Maybe,Audio summaries,70 pages,No,No,Maybe,Customizing my virtual character;Earning badges and digital awards,Not sure,"No, I prefer to keep my progress private"
18-24 years old,College,Yes,Yes,1-3 books,Yes,Both,50 pages,Yes,Yes (please specify the apps),Yes,Customizing my virtual character,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Yes,Yes,1-3 books,No,Written summaries,50 pages,Maybe,No,Yes,Customizing my virtual character;Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Yes,Yes,1-3 books,Yes,Both,70 pages,Maybe,No,Maybe,Earning badges and digital awards,Not sure,"Yes, I like to share my reading progress and points"
18-24 years old,College,Yes,Yes,Less than one book,Yes,Audio summaries,70 pages,Maybe,No,Yes,Customizing my virtual character,Yes,"No, I prefer to keep my progress private"
18-24 years old,Postgraduate,Yes,Yes,3-5 books,Yes,Written summaries,50 pages,Yes,No,Yes,Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,High School,No,No,Less than one book,Yes,Audio summaries,50 pages,Maybe,No,Yes,Customizing my virtual character;Earning badges and digital awards,Yes,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Yes,Yes,1-3 books,Yes,Both,70 pages,Yes,No,Yes,Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Sometimes,Not preferred,1-3 books,Maybe,Both,50 pages,Yes,No,Yes,Sharing reading progress with friends,Not sure,"Yes, but only with a limited audience (e.g., friends only)"
18-24 years old,College,Sometimes,Yes,1-3 books,Yes,Both,50 pages,Maybe,No,Maybe,Customizing my virtual character,Not sure,"Yes, I like to share my reading progress and points"
18-24 years old,Postgraduate,Sometimes,Yes,Less than one book,Yes,Both,50 pages,Yes,No,Maybe,Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
18-24 years old,College,Yes,Yes,1-3 books,Yes,Both,50 pages,Maybe,No,Yes,Earning badges and digital awards,Yes,"Yes, I like to share my reading progress and points"
